iter	Logloss
0	0.6756567054
1	0.6584739358
2	0.6425969969
3	0.6264056722
4	0.6046076252
5	0.5907001443
6	0.5707483666
7	0.5592215801
8	0.5467071946
9	0.5348226465
10	0.5234413934
11	0.5114302273
12	0.5004902716
13	0.4891985516
14	0.4790560962
15	0.4651232782
16	0.4520299175
17	0.4431444667
18	0.4318826505
19	0.4236169056
20	0.4104868463
21	0.4024912637
22	0.3946358502
23	0.3840936919
24	0.3731466601
25	0.3684343895
26	0.3591800694
27	0.348428205
28	0.3418913205
29	0.3324828814
30	0.3240700504
31	0.3188234388
32	0.3137198318
33	0.3051715894
34	0.2972648897
35	0.2901401114
36	0.2858274003
37	0.2792356857
38	0.2756736952
39	0.2720966887
40	0.2648953685
41	0.2594982044
42	0.2540678529
43	0.2510331535
44	0.2478603968
45	0.242315104
46	0.2401938367
47	0.2375120628
48	0.2321718548
49	0.2286966087
50	0.2241071561
51	0.221371408
52	0.2165685128
53	0.2121094498
54	0.2098207483
55	0.2077880214
56	0.205394483
57	0.2030052578
58	0.2010937452
59	0.1994360252
60	0.1977369846
61	0.1959852384
62	0.1923105737
63	0.1889422431
64	0.1873824125
65	0.1859334424
66	0.1843449575
67	0.1828401931
68	0.1791545839
69	0.1778833633
70	0.176031117
71	0.1732170036
72	0.1702782257
73	0.1672716364
74	0.1648162674
75	0.1632216378
76	0.1623660652
77	0.161494625
78	0.1604113099
79	0.159606426
80	0.1588783743
81	0.1581134875
82	0.1571896924
83	0.1562526198
84	0.1549630497
85	0.1542154904
86	0.1531836344
87	0.1508179333
88	0.150214875
89	0.1479477547
90	0.1474659261
91	0.1465175624
92	0.1459471049
93	0.1451276983
94	0.144313677
95	0.1434711425
96	0.1428038688
97	0.1420517057
98	0.141440008
99	0.1410505246
100	0.1400206475
101	0.1390466765
102	0.1382909361
103	0.1377471537
104	0.1370355598
105	0.1354091959
106	0.1348557937
107	0.134373217
108	0.1340458774
109	0.1336083735
110	0.1318864768
111	0.1314859964
112	0.130821964
113	0.1305052628
114	0.1301439496
115	0.1296937419
116	0.1291724057
117	0.1288610191
118	0.128620696
119	0.1283585594
120	0.1279385973
121	0.1275385194
122	0.1270446057
123	0.1266500993
124	0.1252551395
125	0.1240746115
126	0.1234321357
127	0.1229591036
128	0.1224250798
129	0.1220239995
130	0.1216258637
131	0.1213527423
132	0.1208203687
133	0.1205389921
134	0.1202647278
135	0.1189401594
136	0.1184461293
137	0.1181375183
138	0.1177202567
139	0.1172438567
140	0.1169389414
141	0.1166987664
142	0.1163277276
143	0.1158364766
144	0.1148179322
145	0.1143314877
146	0.1140469252
147	0.1134724786
148	0.1131201771
149	0.112823405
150	0.1125365542
151	0.1122015933
152	0.1119159279
153	0.111644259
154	0.111343233
155	0.1110288348
156	0.1107833719
157	0.1105552909
158	0.1102591913
159	0.1099911985
160	0.1097068805
161	0.109490879
162	0.1092889155
163	0.1090451726
164	0.1086315156
165	0.1080795506
166	0.1068438929
167	0.1064841633
168	0.1061635112
169	0.1058002636
170	0.1055048811
171	0.105256462
172	0.1049506166
173	0.1043907415
174	0.1042247622
175	0.1039702357
176	0.103696824
177	0.1033847903
178	0.1030204064
179	0.102694603
180	0.1025563876
181	0.1021642779
182	0.1019309456
183	0.1015982425
184	0.1014386237
185	0.1011406696
186	0.1008474357
187	0.1007302389
188	0.100597717
189	0.1001089504
190	0.09997244866
191	0.0997397359
192	0.09935353278
193	0.09923018567
194	0.09848739762
195	0.09825943699
196	0.09795685068
197	0.09758445703
198	0.09737355484
199	0.09713982886
200	0.09686558067
201	0.09658930689
202	0.09640862447
203	0.09627634013
204	0.09597101949
205	0.09584723342
206	0.09558599481
207	0.09532598696
208	0.09503968981
209	0.09477395265
210	0.09461446864
211	0.09435881986
212	0.09417390793
213	0.09398072331
214	0.09368334466
215	0.09333619255
216	0.09311958284
217	0.09295739726
218	0.09279563267
219	0.09251544316
220	0.09221336978
221	0.09193061777
222	0.09173435435
223	0.09154792823
224	0.09143606014
225	0.09122416228
226	0.09102190983
227	0.09074458081
228	0.09036692448
229	0.0898532964
230	0.08962240114
231	0.08944270704
232	0.08926703988
233	0.08906975581
234	0.08895991307
235	0.08883668094
236	0.08867146655
237	0.08854755125
238	0.08830938779
239	0.08807877537
240	0.08778528964
241	0.08767124216
242	0.08751878869
243	0.08736628072
244	0.08722875051
245	0.08708338978
246	0.08685359341
247	0.08665730676
248	0.08645206787
249	0.08623604112
250	0.08614043794
251	0.08598708529
252	0.08581219313
253	0.08546628916
254	0.08526311846
255	0.08504696998
256	0.0848709118
257	0.0840964886
258	0.08397003152
259	0.08384949963
260	0.08361126468
261	0.08341982168
262	0.08318919925
263	0.08273486429
264	0.08257108336
265	0.08238653477
266	0.08221474287
267	0.08179123226
268	0.08160431176
269	0.08141734387
270	0.08121021231
271	0.08096353001
272	0.0807369632
273	0.08048674222
274	0.08025055621
275	0.08010591621
276	0.07988203913
277	0.07967101472
278	0.0793680127
279	0.07909964598
280	0.07888286243
281	0.07878183598
282	0.07855468401
283	0.07842246567
284	0.07833419204
285	0.07817169144
286	0.07798759111
287	0.07778213967
288	0.07762685747
289	0.07746599298
290	0.07734423883
291	0.07710594748
292	0.07698092366
293	0.07680837565
294	0.07663604062
295	0.07632657208
296	0.07616125486
297	0.07601161905
298	0.07586827785
299	0.07580808265
300	0.07563228016
301	0.07553275945
302	0.07532764232
303	0.07519656702
304	0.07503460357
305	0.07485886312
306	0.07473187068
307	0.07453181532
308	0.07433152364
309	0.07413632677
310	0.07403178267
311	0.07394233682
312	0.07378237008
313	0.0732257164
314	0.07306650614
315	0.07291593608
316	0.07280824756
317	0.07270792747
318	0.07249952866
319	0.07230402745
320	0.07212186649
321	0.07197908403
322	0.07188805337
323	0.07176539588
324	0.07157953876
325	0.07152164855
326	0.07142185088
327	0.07133295327
328	0.0711018805
329	0.07101373339
330	0.07093692502
331	0.07066464439
332	0.070615326
333	0.07011788421
334	0.06973092771
335	0.06963976344
336	0.06951691643
337	0.06939445272
338	0.06927557408
339	0.06912447354
340	0.06899584009
341	0.06881798316
342	0.06870682527
343	0.06863733688
344	0.06802156871
345	0.06785260389
346	0.06766079876
347	0.06759502837
348	0.06742741746
349	0.06729029531
350	0.06717233091
351	0.06708408618
352	0.06693713857
353	0.06681693161
354	0.06669410446
355	0.06646215491
356	0.06629928177
357	0.06615599708
358	0.06604752903
359	0.06582922222
360	0.0656269857
361	0.0653654653
362	0.06528174029
363	0.06514847675
364	0.0649601314
365	0.06486437879
366	0.06474302767
367	0.0645873243
368	0.06441325831
369	0.06435078011
370	0.06426900037
371	0.06410419935
372	0.06398384292
373	0.06390415145
374	0.06378030193
375	0.06358559943
376	0.06351511061
377	0.06336521159
378	0.06316214976
379	0.06302326718
380	0.06294028176
381	0.06289868461
382	0.06272977524
383	0.06263606224
384	0.06250085132
385	0.06239401038
386	0.06224792437
387	0.06216462801
388	0.0619962704
389	0.06189314954
390	0.06175487787
391	0.0615827613
392	0.06143327622
393	0.06128602237
394	0.06119539677
395	0.06106738452
396	0.06097240423
397	0.06083276175
398	0.0606067928
399	0.0605480397
400	0.06043628364
401	0.06000253477
402	0.05988565586
403	0.0598139422
404	0.05972150119
405	0.05959143136
406	0.05949015649
407	0.0589432755
408	0.05878994743
409	0.05868813018
410	0.05854929394
411	0.05845794722
412	0.05831937246
413	0.05820041994
414	0.05815380764
415	0.05801269088
416	0.05792930249
417	0.05788974124
418	0.05783516421
419	0.05774245536
420	0.05766761933
421	0.05755170867
422	0.05747743273
423	0.05741444944
424	0.05731223282
425	0.05719394556
426	0.05709951013
427	0.05702670153
428	0.05685742418
429	0.05675441207
430	0.05642654586
431	0.05636573575
432	0.05626528092
433	0.05614744163
434	0.0560636487
435	0.05593751592
436	0.05583627251
437	0.05576745611
438	0.05568242195
439	0.05565240257
440	0.05552914307
441	0.05544226094
442	0.0553452075
443	0.05518755437
444	0.05510730659
445	0.05503237757
446	0.05490217232
447	0.05476562876
448	0.05463166005
449	0.05450731363
450	0.05441766091
451	0.0541989838
452	0.05405027192
453	0.05393331743
454	0.05345502536
455	0.05338027321
456	0.05326705264
457	0.05318468111
458	0.05306023619
459	0.05297044384
460	0.05290301352
461	0.05288119098
462	0.05281675298
463	0.05274655361
464	0.05267318791
465	0.05258593192
466	0.05253625533
467	0.05239827864
468	0.05231132207
469	0.05218784356
470	0.05211884702
471	0.05203096957
472	0.05192798668
473	0.05188451759
474	0.05172858781
475	0.05165029102
476	0.05151081397
477	0.05128376773
478	0.05119735803
479	0.05104350073
480	0.0508848522
481	0.05079435191
482	0.05068639631
483	0.05060964351
484	0.05049699921
485	0.05041163314
486	0.05035300646
487	0.05019998379
488	0.05010116597
489	0.05002939523
490	0.04996781613
491	0.04989169803
492	0.04978321488
493	0.04973386222
494	0.04964091736
495	0.04953859082
496	0.04946345402
497	0.04939504572
498	0.0492824841
499	0.04922809274
500	0.04913431316
501	0.04899406018
502	0.04888995555
503	0.04851501719
504	0.0484471405
505	0.04834889444
506	0.04825428607
507	0.04814858145
508	0.04809532954
509	0.04796371144
510	0.04782933341
511	0.04772636316
512	0.04763016925
513	0.04737139579
514	0.0471749056
515	0.04708108033
516	0.04675509743
517	0.04656893429
518	0.04647412227
519	0.04640730975
520	0.04632318183
521	0.0462235375
522	0.04582596386
523	0.04576850054
524	0.04568300765
525	0.04562170064
526	0.04556733068
527	0.04549565087
528	0.04537689435
529	0.04529810105
530	0.04521658761
531	0.04510991494
532	0.04497377175
533	0.04488470252
534	0.04483433651
535	0.04480405193
536	0.04469985811
537	0.04461258354
538	0.04451983955
539	0.04448149213
540	0.04440363885
541	0.04432671076
542	0.04424636487
543	0.04418311487
544	0.04408600385
545	0.04400222423
546	0.04392348114
547	0.04384150582
548	0.04378321683
549	0.04369435816
550	0.04357520397
551	0.04349669682
552	0.04343445275
553	0.0433872798
554	0.04329009036
555	0.04320716262
556	0.04309615067
557	0.04307842486
558	0.04298783503
559	0.04289111087
560	0.04277654377
561	0.04268517451
562	0.0426271162
563	0.04246899937
564	0.04238004522
565	0.04232141958
566	0.0422366876
567	0.04213597484
568	0.04176471801
569	0.04172710435
570	0.04167786361
571	0.04131121421
572	0.04121804283
573	0.04115680217
574	0.04110587965
575	0.04106022374
576	0.04098288007
577	0.04094413901
578	0.0406307703
579	0.04056182465
580	0.04045237843
581	0.04038877964
582	0.04033753178
583	0.04028284467
584	0.04011767568
585	0.04004278549
586	0.03978074873
587	0.03969380029
588	0.0396163866
589	0.03930833476
590	0.03923749724
591	0.03921346657
592	0.03919236783
593	0.03913922768
594	0.03905985992
595	0.03897649303
596	0.03890513664
597	0.03889326356
598	0.0388204843
599	0.0387966234
600	0.03868662587
601	0.03861575618
602	0.03856293682
603	0.03849534284
604	0.03844439506
605	0.03838918049
606	0.03828830281
607	0.03803149445
608	0.0376747
609	0.03760606578
610	0.03755557689
611	0.03747496526
612	0.03739423198
613	0.03734419459
614	0.03728488748
615	0.0372387493
616	0.03712919246
617	0.03704824687
618	0.03694461233
619	0.03686654296
620	0.03675780043
621	0.03670330831
622	0.03663268835
623	0.03655642698
624	0.03651950252
625	0.03646109669
626	0.0363899724
627	0.03631914536
628	0.03624068659
629	0.03607043322
630	0.03597909567
631	0.03591630059
632	0.03585739532
633	0.03579489281
634	0.03575665514
635	0.03570187401
636	0.03560030173
637	0.03554694838
638	0.03529280782
639	0.03516406434
640	0.03509270889
641	0.03504302917
642	0.03498220858
643	0.03491870361
644	0.0346817068
645	0.03461140407
646	0.03454430663
647	0.03448954715
648	0.03444717407
649	0.0343650413
650	0.03428885863
651	0.03422632862
652	0.03410285168
653	0.03403508584
654	0.03396511628
655	0.03392895597
656	0.03385099469
657	0.03379331752
658	0.03374113049
659	0.0336620166
660	0.03360095507
661	0.03354640615
662	0.03349979245
663	0.03346165765
664	0.03342437906
665	0.03334469981
666	0.03327651717
667	0.03321021315
668	0.03314613795
669	0.03311515962
670	0.03307903537
671	0.03302963916
672	0.03293349731
673	0.03286833751
674	0.032781697
675	0.03274849584
676	0.03268609947
677	0.03262202669
678	0.03256763422
679	0.03254428082
680	0.03245667504
681	0.03241691112
682	0.03234805895
683	0.03224727619
684	0.03216293774
685	0.03212575466
686	0.03208791073
687	0.03205584743
688	0.03197923815
689	0.03190470154
690	0.03184414382
691	0.03177141594
692	0.03172423314
693	0.03163516742
694	0.03156812024
695	0.03150958155
696	0.03121542215
697	0.03116625335
698	0.03113591538
699	0.03106778445
700	0.0309803992
701	0.03090985688
702	0.03086711926
703	0.03079809845
704	0.0307344725
705	0.03066976054
706	0.03039445092
707	0.03035631981
708	0.03032484496
709	0.03026238233
710	0.03022679117
711	0.03016789188
712	0.02989327331
713	0.02987527557
714	0.02982296695
715	0.02978532726
716	0.02975667029
717	0.02972501724
718	0.02966238919
719	0.02954859713
720	0.02952014592
721	0.02944863105
722	0.02937820414
723	0.02931953707
724	0.02928258511
725	0.02921886494
726	0.0291352091
727	0.02906810514
728	0.02904880136
729	0.02900811819
730	0.0289432683
731	0.02888923259
732	0.02886213536
733	0.02880643036
734	0.02874447426
735	0.028685722
736	0.02862545074
737	0.0285677377
738	0.02832299226
739	0.02825749133
740	0.02820214776
741	0.02816731663
742	0.0281340255
743	0.02808974038
744	0.0279990506
745	0.02794795674
746	0.02793107641
747	0.02787318044
748	0.02779275126
749	0.02775146247
750	0.02769455559
751	0.02764599464
752	0.02759263514
753	0.02756682824
754	0.0274884814
755	0.02743066746
756	0.02737828803
757	0.02733252432
758	0.027312859
759	0.02725038155
760	0.02719957435
761	0.02714799239
762	0.02713290949
763	0.02705570861
764	0.02699943582
765	0.02696709963
766	0.02693910314
767	0.02690375951
768	0.02684894133
769	0.02680122494
770	0.02673175331
771	0.02667973901
772	0.02663135216
773	0.02660215254
774	0.02656649477
775	0.02650631003
776	0.02645590745
777	0.02641097694
778	0.02634179506
779	0.02628829646
780	0.02623017613
781	0.02617894435
782	0.02615106606
783	0.02607888464
784	0.02602777367
785	0.02600633252
786	0.02597235197
787	0.02594487601
788	0.02591384722
789	0.02587775902
790	0.02585597342
791	0.02581480976
792	0.02576151711
793	0.02571863013
794	0.02565321381
795	0.02560128552
796	0.02557466048
797	0.02552565068
798	0.0254717469
799	0.02524240923
800	0.02522147579
801	0.02515934747
802	0.02513939953
803	0.02492118549
804	0.0248838048
805	0.02482330879
806	0.02477708705
807	0.02471062745
808	0.02466217124
809	0.02463285891
810	0.0244274027
811	0.02437588277
812	0.02431167412
813	0.02427338824
814	0.02422029719
815	0.0241945327
816	0.02415449035
817	0.0241302858
818	0.02409107832
819	0.0240423293
820	0.02383816704
821	0.02381945119
822	0.02379546682
823	0.02373875184
824	0.02370677019
825	0.02366749488
826	0.02364114571
827	0.02344727719
828	0.02341735401
829	0.02337156092
830	0.02333171385
831	0.02331296355
832	0.02329720387
833	0.02323611345
834	0.02320679513
835	0.02317005477
836	0.02313406627
837	0.02307628497
838	0.02303133385
839	0.02301220881
840	0.02297131364
841	0.02294948696
842	0.02291158689
843	0.0228846507
844	0.02284808751
845	0.02282571136
846	0.02278282912
847	0.02272415049
848	0.02270650098
849	0.02264855314
850	0.02259988083
851	0.02254165902
852	0.02235747295
853	0.02231759505
854	0.02228361542
855	0.02224612996
