iter	Passed	Remaining
436	1400	1804
437	1404	1801
438	1407	1798
439	1410	1795
440	1413	1791
441	1416	1788
442	1419	1785
443	1423	1782
444	1426	1779
445	1429	1776
446	1432	1772
447	1436	1769
448	1439	1766
449	1442	1762
450	1445	1759
451	1448	1755
452	1451	1752
453	1454	1749
454	1457	1745
455	1460	1742
456	1463	1738
457	1466	1735
458	1469	1732
459	1472	1728
460	1475	1725
461	1479	1722
462	1482	1719
463	1485	1715
464	1488	1712
465	1491	1709
466	1494	1706
467	1499	1704
468	1504	1703
469	1508	1700
470	1511	1698
471	1515	1694
472	1518	1692
473	1522	1689
474	1525	1685
475	1528	1682
476	1531	1678
477	1534	1675
478	1536	1671
479	1539	1668
480	1542	1664
481	1546	1661
482	1548	1657
483	1551	1654
484	1555	1651
485	1558	1647
486	1561	1644
487	1563	1640
488	1566	1637
489	1569	1633
490	1572	1630
491	1576	1627
492	1579	1623
493	1581	1620
494	1584	1616
495	1588	1613
496	1591	1610
497	1594	1607
498	1597	1603
499	1600	1600
500	1603	1596
501	1607	1594
502	1610	1591
503	1613	1587
504	1616	1584
505	1619	1581
506	1622	1578
507	1626	1574
508	1629	1571
509	1632	1568
510	1635	1565
511	1638	1561
512	1641	1558
513	1645	1555
514	1648	1552
515	1651	1549
516	1655	1546
517	1658	1543
518	1661	1539
519	1664	1536
520	1667	1533
521	1670	1529
522	1673	1526
523	1676	1523
524	1679	1519
525	1682	1516
526	1685	1513
527	1688	1509
528	1691	1506
529	1694	1502
530	1697	1499
531	1700	1496
532	1703	1492
533	1706	1489
534	1709	1485
535	1713	1483
536	1717	1480
537	1720	1477
538	1723	1473
539	1726	1470
540	1729	1467
541	1732	1464
542	1736	1461
543	1739	1457
544	1742	1454
545	1746	1452
546	1749	1449
547	1753	1446
548	1756	1443
549	1760	1440
550	1763	1436
551	1765	1433
552	1768	1429
553	1771	1426
554	1775	1423
555	1778	1420
556	1782	1417
557	1785	1414
558	1789	1412
559	1793	1409
560	1796	1406
561	1799	1402
562	1802	1399
563	1806	1396
564	1809	1393
565	1812	1390
566	1816	1386
567	1820	1384
568	1824	1381
569	1827	1378
570	1830	1375
571	1833	1372
572	1837	1369
573	1840	1365
574	1843	1362
575	1846	1359
576	1850	1356
577	1853	1353
578	1856	1350
579	1859	1346
580	1863	1343
581	1867	1341
582	1870	1338
583	1874	1334
584	1876	1331
585	1880	1328
586	1883	1325
587	1887	1322
588	1890	1319
589	1893	1315
590	1898	1313
591	1902	1310
592	1905	1307
593	1908	1304
594	1911	1301
595	1914	1297
596	1917	1294
597	1920	1290
598	1923	1287
599	1927	1284
600	1930	1281
601	1933	1278
602	1936	1274
603	1939	1271
604	1943	1268
605	1946	1265
606	1949	1262
607	1952	1258
608	1955	1255
609	1959	1252
610	1962	1249
611	1965	1246
612	1968	1242
613	1971	1239
614	1975	1236
615	1978	1233
616	1981	1230
617	1988	1229
618	1993	1226
619	1996	1223
620	1999	1220
621	2004	1217
622	2007	1214
623	2010	1211
624	2013	1207
625	2016	1204
626	2019	1201
627	2022	1198
628	2025	1194
629	2028	1191
630	2031	1188
631	2034	1184
632	2037	1181
